番号,単語,発音記号,品詞,意味,補足,例文,例文訳
77,fashion,/ˈfæʃn/,名詞、動詞,【名】流行、ファッション、やり方<br>【動】形づくる,in a fashion や in this fashion の形で「〜のやり方、方法で」という意味になります。,"【名】Fashion changes so fast that my ""outdated"" jacket has become vintage twice already.<br>【動】He tried to fashion a raincoat out of garbage bags, and honestly, it worked terrifyingly well.",【名】流行はあまりに速く変わるので、私の「時代遅れ」の上着はもう二度ヴィンテージになった。<br>【動】彼はゴミ袋でレインコートを作ろうとし、正直、それは恐ろしいほどうまく機能した。
78,public,/ˈpʌblɪk/,形容詞、名詞,【形】公の、公共の、公立の<br>【名】一般大衆、世間,the public で「大衆・一般市民」という集合名詞（単数・複数扱い）になります。,"【形】The public restroom had a sign saying ""Out of Order"" that had itself become a permanent fixture.<br>【名】He addressed the public with great confidence, forgetting his microphone was completely off.",【形】その公衆トイレには「故障中」の張り紙があり、その張り紙自体が恒久的な備品と化していた。<br>【名】彼は大いなる自信をもって公衆に語りかけたが、マイクが完全にオフだったことを忘れていた。
79,evidence,/ˈevɪdəns/,名詞,証拠、根拠,不可算名詞（数えられない名詞）であるため、一つの証拠と言う場合は a piece of evidence とします。,The only evidence that he cleaned the kitchen was a single sponge placed with suspicious pride.,彼がキッチンを掃除した唯一の証拠は、疑わしいほど誇らしげに置かれた一個のスポンジだった。
80,vote,/voʊt/,名詞、動詞,【名】投票、投票権<br>【動】投票する,賛成投票は vote for ...、反対投票は vote against ... と表現します。,"【名】The vote on where to eat lunch ended in a tie, so we ate nowhere and complained everywhere.<br>【動】We decided to vote on the new office rules, then voted to never speak of the vote again.",【名】昼食の場所を巡る投票は引き分けに終わり、結局どこでも食べず、あらゆる場所で不平を言った。<br>【動】新しいオフィス規則を投票で決めることにし、それからその投票について二度と語らないことを投票で決めた。
81,government,/ˈɡʌvərnmənt/,名詞,政府、政治、行政,「政府機関」だけでなく「統治・支配すること」そのものを指すこともあります。,"The government promised faster internet, and my connection celebrated by disconnecting on the spot.",政府はより速いインターネットを約束し、私の接続はその場で切断することで祝った。
82,nation,/ˈneɪʃn/,名詞,国家、国民、民族,共通の歴史、言語、文化を持つ人々の集まり（国民）や、その人々からなる「国」を指します。,The tiny nation is famous for two things: excellent cheese and losing every football match politely.,その小さな国は二つのことで有名だ。素晴らしいチーズと、あらゆるサッカーの試合を礼儀正しく負けることだ。
83,capital,/ˈkæpɪtl/,名詞、形容詞,【名】首都、資本金、大文字<br>【形】主要な、大文字の、死刑の,capital punishment（死刑）や capital letters（大文字）などの形でよく使われます。,"【名】He confidently named the capital of the country, then quietly admitted he had guessed correctly.<br>【形】It was a capital idea to hold the meeting outdoors, right up until the sudden, dramatic downpour.",【名】彼は自信満々にその国の首都を答え、それから正解を当てずっぽうで言ったと静かに認めた。<br>【形】会議を屋外で開くのは素晴らしい思いつきだった。突然の劇的な土砂降りまでは。
84,state,/steɪt/,名詞、形容詞、動詞,【名】状態、国家、州<br>【形】国家の、公式の<br>【動】述べる、表明する,動詞として「公式に（書類やスピーチ等で）はっきりと述べる」という意味が非常に重要です。,"【名】The president addressed the entire state, whose citizens were mainly interested in the weather forecast.<br>【形】The museum displayed the state car, which was polished enough to blind an unsuspecting tourist.<br>【動】""I will state this once,"" he said, then repeated it eleven increasingly loud times.",【名】大統領は州全体に演説したが、その市民たちは主に天気予報に関心があった。<br>【形】博物館は公用車を展示していたが、それは無防備な観光客を目がくらませるほど磨かれていた。<br>【動】「一度だけ言う」と彼は言い、それをだんだん大声で十一回繰り返した。
85,political,/pəˈlɪtɪkl/,形容詞,政治の、政治的な,名詞 politics（政治、政治学）から派生した形容詞です。,Family dinners stay peaceful until someone raises a political topic and the gravy goes cold.,家族の夕食は平和なままだ。誰かが政治的な話題を持ち出し、グレイビーが冷めるまでは。
86,price,/praɪs/,名詞、動詞,【名】価格、値段、代償<br>【動】値段をつける,比喩的に、成功などのために払うべき「犠牲・代償」という意味でも使われます。,"【名】The price of the ""free"" trial became painfully clear when the first bill arrived.<br>【動】They priced the tiny coffee so high that ordering it felt like a serious financial decision.",【名】その「無料」お試しの値段は、最初の請求書が届いた時に痛いほど明白になった。<br>【動】彼らはその小さなコーヒーをあまりに高く値づけしたので、注文するのが重大な財政的決断のように感じられた。
87,sum,/sʌm/,名詞、動詞,【名】合計、金額、要約<br>【動】合計する、要約する,sum up で「要約する、合計する」という動詞句になります。,"【名】He owed a small sum, so naturally he avoided me with the dedication of a professional athlete.<br>【動】If you sum up the meeting, it lasted three hours and decided to hold another meeting.",【名】彼は少額の借金があり、当然ながらプロ選手並みの献身で私を避けた。<br>【動】その会議を要約すると、三時間続き、もう一つ会議を開くことを決めた、となる。
